clade_name	NCBI_tax_id	BFH12_S130	BH09_S83	BFH35_S153	BSE93_S121	BH47_S108	BH52_S112	BH36_S101	BFH33_S151	BFH9_S127	FH6_S167	BH10_S84	BFH15_S133	BFH22_S140	BFH31_S149	BH50_S111	BH30_S94	BFH32_S150	BFH6_S125	BFH8_S126	BSE100_S122	BFH20_S138	BFH21_S139	BFH14_S132	BFH24_S142	FH1_S162	BH34.B_S99	BH34.A_S98	BH06_S81	BSE79_S120	BH20_S88	BFH17_S135	BH31_S95	BH11_S85	BFH36_S154	BH22_S89	BFH38.B_S157	BH45_S106	BH61_S116	FH5_S166	BFH25_S143	BFH41_S160	BFH18_S136	BH59_S114	BH13_S86	BH03_S78	BH38_S103	BFH40_S159	BH33_S97	BH32_S96	BFH13_S131	BFH4_S124	BFH10_S128	BFH39_S158	BFH19_S137	BH37_S102	FH8_S169	BH04_S79	BH25_S91	BH01_S76	BFH23_S141	BH58_S113	BFH38.A_S156	BH14_S87	BSE74_S119	BH05_S80	BFH1_S123	FH3_S164	BH63_S118	BH48_S109	BFH34_S152	BFH28_S146	BH07_S82	BFH11_S129	BH44_S105	FH10_S171	FH9_S170	BFH27_S145	BFH29_S147	FH7_S168	BFH16_S134	FH4_S165	BH02_S77	BH29_S93	BH39_S104	BH60_S115	BH62_S117	BH27_S92	BFH26_S144	BH35_S100	BFH37_S155	FH2_S163	BFH42_S161	BH46_S107	BH24_S90	BH49_S110	BFH30_S148
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	2157;28890;183925;2158;2159;2172	2.09731	0	0.05284	0	0.0278	0	0.14148	0.23726	5.33217	0.78457	0	0.10697999999999999	0.18328	0.08457999999999999	1.13231	0	0.09871	1.04682	0.07171	0	0	6.38978	3.31532	0	0.03094	0.5659	0.66579	0.12721	0	0.6272300000000001	0.29557	1.0619399999999999	0	1.76378	0	0.09873	0.04359	0.10215	0	0.040530000000000004	0.91445	0.22587	0.28302	0	0.11435999999999999	0.49986	0.8857700000000001	0.65117	0	2.99625	4.0252099999999995	8.792530000000001	1.10361	0.01054	0.30451	0.03433	0	0	0	0	0.29245	0.09709	0	0	2.8526700000000003	1.15334	0.02592	0	0.59726	0.09824	0	0	0.73931	0	0	0	0	0.39843	0.01269	1.83275	0	0	0	0.51147	0.15569000000000002	0.10855	0.15927	0	0.17694000000000001	0.00469	0.04025	0.24203000000000002	2.3363099999999997	0.38236	0.029439999999999997	0.9565
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_arboriphilus	2157;28890;183925;2158;2159;2172;39441	0	0	0	0	0	0	0.14148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04359	0	0	0	0	0	0	0	0	0.49986	0	0	0	0	0	0	0	0	0.30451	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17694000000000001	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii	2157;28890;183925;2158;2159;2172;2173	2.09731	0	0.05284	0	0.0278	0	0	0.23726	5.33217	0.78457	0	0.10697999999999999	0.18328	0.08457999999999999	1.13231	0	0.09871	1.04682	0.07171	0	0	6.38978	3.31532	0	0.03094	0.5659	0.66579	0.12721	0	0.6272300000000001	0.29557	1.0619399999999999	0	1.76378	0	0.09873	0	0.10215	0	0.040530000000000004	0.91445	0.22587	0.28302	0	0.11435999999999999	0	0.8857700000000001	0.65117	0	2.99625	4.0252099999999995	8.792530000000001	1.10361	0.01054	0	0.03433	0	0	0	0	0.29245	0.09709	0	0	2.8526700000000003	1.15334	0.02592	0	0.19177	0.09824	0	0	0.73931	0	0	0	0	0.39843	0.01269	1.83275	0	0	0	0.51147	0.15569000000000002	0.10855	0.15927	0	0	0.00469	0.04025	0.24203000000000002	2.3363099999999997	0.38236	0.029439999999999997	0.9565
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera	2157;28890;183925;2158;2159;2316	0	0	0.006790000000000001	0	0	0	0	0.013269999999999999	1.21591	0	0	0	0	0	0.08424	0	0.10507999999999999	0.08482999999999999	0	0	0	0.22834000000000002	0.05143	0	0	0	0	0	0	0.06923	0	0	0	0.27266	0	0.01729	0	0	0	0	0.10035	0	0	0	0	0	0.12239000000000001	0	0	0.00975	1.32778	1.08136	0.18766	0	0	0	0	0	0	0	0	0.011940000000000001	0	0	0.32823	0.06088	0	0	0	0	0	0	0	0	0	0	0	0.05442	0	0.09792000000000001	0	0	0	0	0	0	0.01805	0	0	0	0	0	0.033510000000000005	0	0	0.15529
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera_cuniculi	2157;28890;183925;2158;2159;2316;1077256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00561	0	0	0	0	0	0	0	0	0	0	0	0.32823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera_stadtmanae	2157;28890;183925;2158;2159;2316;2317	0	0	0.006790000000000001	0	0	0	0	0.013269999999999999	1.21591	0	0	0	0	0	0.08424	0	0.10507999999999999	0.08482999999999999	0	0	0	0.22834000000000002	0.05143	0	0	0	0	0	0	0.06923	0	0	0	0.27266	0	0.01729	0	0	0	0	0.10035	0	0	0	0	0	0.12239000000000001	0	0	0.00975	1.32778	1.08136	0.18205	0	0	0	0	0	0	0	0	0.011940000000000001	0	0	0	0.06088	0	0	0	0	0	0	0	0	0	0	0	0.05442	0	0.09792000000000001	0	0	0	0	0	0	0.01805	0	0	0	0	0	0.033510000000000005	0	0	0.15529
k__Archaea;p__Euryarchaeota;c__Methanomicrobia	2157;28890;224756	0	0	0	0	0.03292	0	16.1626	0.01116	4.03254	0	0	0.02901	0	0.037380000000000004	5.15856	1.45906	0	0	1.52074	0	2.7004599999999996	3.2875400000000004	0.0411	0	0	0.65117	0.57117	0.00864	0	0	0	0.44485	0	0	0	0.20561	2.75451	0.042839999999999996	0	0	0.14529	13.28614	0	0	0	2.10894	0.09358999999999999	0.27721	0.9416899999999999	0.26466	0	17.1701	0.00242	0.29994	6.075419999999999	0	0	0	0	0	0.06217	0.23736999999999997	6.213019999999999	0	0.5707300000000001	22.50412	0	0	0.61944	0.020569999999999998	0.59572	0	0.57396	3.77	0	0	0	1.60074	0	0.0862	0	0	1.0109299999999999	4.65459	0.03558	0.03488	0.12344000000000001	0.00671	1.7534299999999998	0.00247	0	4.69639	0.10117000000000001	0	0.02412	0.07132000000000001
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales	2157;28890;224756;2191	0	0	0	0	0	0	0.22375	0	0	0	0	0	0	0	0.38729	0.008490000000000001	0	0	0.58	0	0.00891	0	0	0	0	0	0	0.00864	0	0	0	0	0	0	0	0	0.95385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24416999999999997	0	0	0	0	0	0	0	1.48114	0	0	17.95412	0	0	0.13047999999999998	0	0	0	0.08065	0.8595299999999999	0	0	0	0.0020800000000000003	0	0.031889999999999995	0	0	0.026369999999999998	1.01188	0	0	0	0	0	0	0	0	0.06509	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae	2157;28890;224756;2191;1198451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07501000000000001	0	0	0	0.5587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24713000000000002	0	0	17.95412	0	0	0	0	0	0	0.08065	0	0	0	0	0	0	0	0	0	0	0.7434	0	0	0	0	0	0	0	0	0.06509	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula	2157;28890;224756;2191;1198451;395331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07501000000000001	0	0	0	0.5587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24713000000000002	0	0	17.95412	0	0	0	0	0	0	0.08065	0	0	0	0	0	0	0	0	0	0	0.7434	0	0	0	0	0	0	0	0	0.06509	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__Methanoregula_formicica	2157;28890;224756;2191;1198451;395331;882104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07501000000000001	0	0	0	0.5587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24713000000000002	0	0	17.95412	0	0	0	0	0	0	0.08065	0	0	0	0	0	0	0	0	0	0	0.7434	0	0	0	0	0	0	0	0	0.06509	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae	2157;28890;224756;2191;196137	0	0	0	0	0	0	0.22375	0	0	0	0	0	0	0	0.31228	0.008490000000000001	0	0	0.0213	0	0.00891	0	0	0	0	0	0	0.00864	0	0	0	0	0	0	0	0	0.95385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24416999999999997	0	0	0	0	0	0	0	1.234	0	0	0	0	0	0.13047999999999998	0	0	0	0	0.8595299999999999	0	0	0	0.0020800000000000003	0	0.031889999999999995	0	0	0.026369999999999998	0.26849	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum	2157;28890;224756;2191;196137;2202	0	0	0	0	0	0	0.22375	0	0	0	0	0	0	0	0.31228	0.008490000000000001	0	0	0.0213	0	0.00891	0	0	0	0	0	0	0.00864	0	0	0	0	0	0	0	0	0.95385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24416999999999997	0	0	0	0	0	0	0	1.234	0	0	0	0	0	0.13047999999999998	0	0	0	0	0.8595299999999999	0	0	0	0.0020800000000000003	0	0.031889999999999995	0	0	0.026369999999999998	0.26849	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum;s__Methanospirillum_hungatei	2157;28890;224756;2191;196137;2202;2203	0	0	0	0	0	0	0.14695	0	0	0	0	0	0	0	0.12991	0.008490000000000001	0	0	0.0213	0	0.00891	0	0	0	0	0	0	0.00864	0	0	0	0	0	0	0	0	0.5250100000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.198	0	0	0	0	0	0	0	0.30503	0	0	0	0	0	0.00843	0	0	0	0	0.48926000000000003	0	0	0	0	0	0.031889999999999995	0	0	0	0.07313	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum;s__Methanospirillum_lacunae	2157;28890;224756;2191;196137;2202;668570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36399000000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum;s__Methanospirillum_stamsii	2157;28890;224756;2191;196137;2202;1277351	0	0	0	0	0	0	0.0768	0	0	0	0	0	0	0	0.16915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046169999999999996	0	0	0	0	0	0	0	0.9289799999999999	0	0	0	0	0	0.12204000000000001	0	0	0	0	0.00628	0	0	0	0.0020800000000000003	0	0	0	0	0.026369999999999998	0.19535999999999998	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales	2157;28890;224756;94695	0	0	0	0	0.03292	0	15.93885	0.01116	4.03254	0	0	0.02901	0	0.037380000000000004	4.7712699999999995	1.4505700000000001	0	0	0.9407399999999999	0	2.69155	3.2875400000000004	0.0411	0	0	0.65117	0.57117	0	0	0	0	0.44485	0	0	0	0.20561	1.80065	0.042839999999999996	0	0	0.14529	13.28614	0	0	0	2.10894	0.09358999999999999	0.27721	0.9416899999999999	0.26466	0	17.1701	0.00242	0.29994	5.83125	0	0	0	0	0	0.06217	0.23736999999999997	4.73189	0	0.5707300000000001	4.55	0	0	0.48896000000000006	0.020569999999999998	0.59572	0	0.49331	2.86817	0	0	0	1.59866	0	0.05432000000000001	0	0	0.98456	3.6427099999999997	0.03558	0.03488	0.12344000000000001	0.00671	1.7534299999999998	0.00247	0	4.69639	0.03608	0	0.02412	0.07132000000000001
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae	2157;28890;224756;94695;143067	0	0	0	0	0	0	0.6153	0.01116	0.17723	0	0	0	0	0.037380000000000004	0.34657	1.43097	0	0	0.9407399999999999	0	2.51607	0.12815	0.0411	0	0	0.34046	0.21139000000000002	0	0	0	0	0.14951	0	0	0	0.20561	0	0	0	0	0.1356	13.22206	0	0	0	0.73424	0.08595	0	0.52642	0	0	16.6855	0	0.21311	3.9617699999999996	0	0	0	0	0	0.06217	0.23736999999999997	3.87321	0	0.39786	4.44781	0	0	0.09185	0.020569999999999998	0.04123	0	0.01924	0	0	0	0	1.59866	0	0.05432000000000001	0	0	0.8944	3.6427099999999997	0.03558	0	0.12344000000000001	0.00671	0.44435	0.00247	0	4.69639	0.03608	0	0.014180000000000002	0.07132000000000001
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae;g__Methanothrix	2157;28890;224756;94695;143067;2222	0	0	0	0	0	0	0.6153	0.01116	0.17723	0	0	0	0	0.037380000000000004	0.34657	1.43097	0	0	0.9407399999999999	0	2.51607	0.12815	0.0411	0	0	0.34046	0.21139000000000002	0	0	0	0	0.14951	0	0	0	0.20561	0	0	0	0	0.1356	13.22206	0	0	0	0.73424	0.08595	0	0.52642	0	0	16.6855	0	0.21311	3.9617699999999996	0	0	0	0	0	0.06217	0.23736999999999997	3.87321	0	0.39786	4.44781	0	0	0.09185	0.020569999999999998	0.04123	0	0.01924	0	0	0	0	1.59866	0	0.05432000000000001	0	0	0.8944	3.6427099999999997	0.03558	0	0.12344000000000001	0.00671	0.44435	0.00247	0	4.69639	0.03608	0	0.014180000000000002	0.07132000000000001
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae;g__Methanothrix;s__Methanothrix_soehngenii	2157;28890;224756;94695;143067;2222;2223	0	0	0	0	0	0	0.6153	0.01116	0.17723	0	0	0	0	0.037380000000000004	0.34657	1.43097	0	0	0.9407399999999999	0	2.51607	0.12815	0.0411	0	0	0.34046	0.21139000000000002	0	0	0	0	0.14951	0	0	0	0.20561	0	0	0	0	0.1356	13.22206	0	0	0	0.73424	0.08595	0	0.52642	0	0	16.6855	0	0.21311	3.9617699999999996	0	0	0	0	0	0.06217	0.23736999999999997	3.87321	0	0.39786	4.44781	0	0	0.09185	0.020569999999999998	0.04123	0	0.01924	0	0	0	0	1.59866	0	0.05432000000000001	0	0	0.8944	3.6427099999999997	0.03558	0	0.12344000000000001	0.00671	0.44435	0.00247	0	4.69639	0.03608	0	0.014180000000000002	0.07132000000000001
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae	2157;28890;224756;94695;2206	0	0	0	0	0.03292	0	15.32355	0	3.85531	0	0	0.02901	0	0	4.42469	0.01959	0	0	0	0	0.17548	3.15939	0	0	0	0.31072	0.35978000000000004	0	0	0	0	0.29534	0	0	0	0	1.80065	0.042839999999999996	0	0	0.00969	0.06408	0	0	0	1.47	0.007640000000000001	0.27721	0.41527	0.26466	0	0.4846	0.00242	0.08682999999999999	1.86947	0	0	0	0	0	0	0	0.8586799999999999	0	0.17287	0.10219	0	0	0.39711	0	0.55448	0	0.47407	2.86817	0	0	0	0	0	0	0	0	0.09016	0	0	0.03488	0	0	1.3090700000000002	0	0	0	0	0	0.00993	0
