"Cluster_name"	"AHMA1"	"AHMA2"	"AHMA3"	"AHMA4"	"AHMA5"	"ASMA1"	"ASMA2"	"ASMA3"	"BFH1_S123"	"BFH10_S128"	"BFH11_S129"	"BFH12_S130"	"BFH13_S131"	"BFH14_S132"	"BFH15_S133"	"BFH16_S134"	"BFH17_S135"	"BFH18_S136"	"BFH19_S137"	"BFH20_S138"	"BFH21_S139"	"BFH22_S140"	"BFH23_S141"	"BFH24_S142"	"BFH25_S143"	"BFH26_S144"	"BFH27_S145"	"BFH28_S146"	"BFH29_S147"	"BFH30_S148"	"BFH31_S149"	"BFH32_S150"	"BFH33_S151"	"BFH34_S152"	"BFH35_S153"	"BFH36_S154"	"BFH37_S155"	"BFH38A_S156"	"BFH38B_S157"	"BFH39_S158"	"BFH4_S124"	"BFH40_S159"	"BFH41_S160"	"BFH42_S161"	"BFH6_S125"	"BFH8_S126"	"BFH9_S127"	"BH01_S76"	"BH02_S77"	"BH03_S78"	"BH04_S79"	"BH05_S80"	"BH06_S81"	"BH07_S82"	"BH09_S83"	"BH10_S84"	"BH11_S85"	"BH13_S86"	"BH14_S87"	"BH20_S88"	"BH22_S89"	"BH24_S90"	"BH25_S91"	"BH27_S92"	"BH29_S93"	"BH30_S94"	"BH31_S95"	"BH32_S96"	"BH33_S97"	"BH34A_S98"	"BH34B_S99"	"BH35_S100"	"BH36_S101"	"BH37_S102"	"BH38_S103"	"BH39_S104"	"BH44_S105"	"BH45_S106"	"BH46_S107"	"BH47_S108"	"BH48_S109"	"BH49_S110"	"BH50_S111"	"BH52_S112"	"BH58_S113"	"BH59_S114"	"BH60_S115"	"BH61_S116"	"BH62_S117"	"BH63_S118"	"BSE100_S122"	"BSE74_S119"	"BSE79_S120"	"BSE93_S121"	"CP1"	"CP3"	"CP4"	"CP5"	"CP6"	"CP7"	"CP8"	"DEU27"	"DEU27_1"	"DEU27_2"	"ESP75"	"ESP75_1"	"ESP75_2"	"FH1_S162"	"FH10_S171"	"FH2_S163"	"FH3_S164"	"FH4_S165"	"FH5_S166"	"FH6_S167"	"FH7_S168"	"FH8_S169"	"FH9_S170"	"FIN25"	"FIN25_1"	"FIN25_2"	"IRL69"	"IRL69_1"	"IRL69_2"	"JTH"	"Seafield"	"SWE41"	"SWE41a"	"SWE41a_1"	"SWE41a_2"	"SWESTP30"	"SWESTP31"	"SWESTP33"	"SWESTP35"	"SWESTP37"	"SWESTP49"	"SWESTP53"	"SWESTP57"
"503"	"grmO_1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"472"	"fmrO_1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"502"	"grmB_1_clust"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"507"	"kgmB_1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"607"	"sgm_1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"112"	"aph(3')-VI_2_clust"	202	514	74	599	81	1	8	2	0	0	0	1	0	1	0	0	0	1	5	1	0	0	0	1	2	0	0	45	172	68	0	2	114	1	0	13	2	25	26	51	1	6	10	0	0	0	0	0	0	1	0	0	6	0	1	0	1	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	8	0	1	0	0	1	0	1	2	8	0	0	1	0	0	0	0	0	0	0	0	1	24	123	4	7	2	160	26	0	0	0	1	13	18	69	0	57	6	23	2	33	0	0	1	1	0	2	21	8	3	348	4	5	15	2	2	0	1	0	7	3	0	0	0
"108"	"aph(3')-IX_1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"86"	"ant(6)-Ia_5_clust"	143	43	200	49	0	0	11	1	3	6	5	1	5	0	2	13	1	6	3	1	2	5	0	0	0	1	0	5	42	70	5	7	4	0	0	0	1	32	34	77	2	49	62	6	6	10	8	0	1	0	0	23	45	0	0	2	1	1	4	0	0	0	1	3	10	15	14	7	7	33	33	8	19	4	18	34	6	9	31	23	16	25	58	1	4	4	6	23	19	0	0	0	0	0	9	7	1	82	6	14	5	4	1	1	12	5	7	37	0	147	46	346	1	5	2	3	8	32	1	31	4	5	1	35	1	13	9	7	4	34	21	42	29	29	0	0	0
"68"	"aadA13_2_clust"	11	21	108	33	10	0	5	2	171	310	32	95	196	19	315	66	2	140	45	107	5	55	101	2	228	49	1	88	84	47	8	54	39	45	60	12	15	87	60	91	34	98	82	36	56	654	37	2826	38	50	4	53	31	18	0	3	1	25	19	0	0	0	0	431	315	234	273	170	50	106	148	181	162	110	90	48	40	40	424	843	121	137	88	523	33	30	37	142	88	2	30	2	2	9	12	53	12	20	28	8	11	5	8	0	7	125	109	18	1	29	58	18	5	0	19	10	10	6	1	3	11	11	4	65	13	14	9	6	2	17	7	17	18	22	0	0	4
"71"	"aadA2_1_clust"	411	904	950	836	124	1	21	10	162	240	456	492	81	150	283	193	47	72	608	487	43	682	348	5	381	728	7	473	456	337	909	297	531	285	479	256	378	698	570	459	192	283	344	112	520	120	192	3838	953	151	6	390	47	86	4	21	10	286	45	0	3	3	4	571	778	746	365	302	187	363	419	474	600	296	293	251	454	527	264	497	699	677	639	174	604	480	696	370	170	5	12	7	5	189	141	52	35	151	23	35	84	8	21	5	8	75	93	811	1	237	146	94	9	21	35	37	52	39	13	31	21	3	4	113	12	36	16	16	4	45	42	31	27	45	2	11	12
"73"	"aadA7_2_clust"	1	0	0	1	1	0	0	0	16	48	11	1	6	0	4	50	6	123	12	43	5	24	5	0	7	30	0	5	21	17	6	38	10	10	42	5	1	23	14	28	0	62	52	89	15	18	2	0	2	78	0	4	1	1	1	0	0	3	13	0	0	0	0	6	18	15	5	61	3	10	11	18	18	12	8	13	27	23	4	3	32	8	11	1	19	13	14	30	28	0	0	0	0	1	2	1	6	30	0	1	0	3	3	2	5	33	30	7	0	58	4	3	0	0	5	7	0	9	3	7	5	2	0	11	2	5	2	1	1	15	12	6	6	5	0	0	1
"75"	"aadD_1_clust"	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	2	0	0	2	0	0	0	0	4	9	6	0	2	7	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	2	0	0	6	1	1	2	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	1	0	0	0	0	0	0	0	0	0	0	0	0
"91"	"aph(2'')-Ib_2_clust"	2	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	5	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	8	0	11	0	0	1	1	0	0	1	0	0	1	0	6	16	8	21	9	6	38	44	17	48	9	19	75	39	33	151	36	46	75	71	0	6	15	11	17	6	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	1	1	1	12	0	0	1	0	0	1	0	2	0	0	0	4	0	0	0	89	0	1	1	0	0	0	1	0	1	0	0	0	0
"121"	"aph(7'')-Ia_1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"123"	"aph(9)-Ia_2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"117"	"aph(6)-Ia_2_clust"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"120"	"aph(6)-Id_1_clust"	1122	1752	1422	1702	1912	25	339	85	195	547	271	372	99	177	1111	179	135	236	3562	1673	174	381	986	9	1279	1053	19	972	961	1223	711	1026	2052	603	1442	612	2312	1373	1042	1501	179	657	1062	181	510	157	2312	432	1629	999	9	129	139	222	42	395	13	709	68	15	9	25	653	1619	1210	924	666	718	302	538	602	5313	3697	2753	2707	267	504	439	440	3190	1273	1447	1094	588	4842	4307	4600	586	380	11	16	12	9	196	688	455	188	2703	581	583	853	30	14	10	50	210	208	1195	9	293	153	158	190	1354	217	221	281	60	21	69	198	136	61	582	357	98	41	26	22	111	181	182	145	120	84	6	17
"97"	"aph(3'')-Ia_2_clust"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"98"	"aph(3'')-Ib_1_clust"	932	1669	1464	1608	1982	22	298	60	179	1069	235	371	134	137	897	128	122	318	2586	1420	134	369	879	9	1074	991	10	886	801	1014	618	893	1621	485	1237	530	1889	1144	982	1274	146	484	874	109	438	161	2029	398	1793	1134	12	95	140	207	29	354	18	616	88	24	9	15	591	1784	1107	864	596	609	301	539	573	4446	3092	2238	2326	251	413	420	391	2383	1107	1306	892	437	4296	3648	4029	554	326	12	21	6	11	162	637	388	188	2486	538	581	698	34	24	17	52	205	204	961	6	231	125	147	169	1217	175	228	174	66	15	53	182	144	49	781	315	87	40	23	20	99	166	142	120	119	55	15	13
"76"	"aadE-Cc_1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"79"	"ant(2'')-Ia_2_clust"	358	354	265	273	489	1	6	3	143	40	82	93	35	13	143	504	192	152	654	662	152	315	253	9	592	1214	11	1367	917	295	800	324	554	245	801	309	1107	593	510	505	11	193	445	13	308	84	41	2168	853	589	4	562	69	32	26	67	6	355	21	4	5	3	5	554	1255	795	413	751	169	403	422	2927	2191	1641	3210	366	486	481	573	521	1275	1532	434	750	1513	1438	2062	186	151	6	52	5	5	316	841	2241	327	1634	2825	2016	4511	5	2	2	2	42	26	773	0	619	97	14	8	7	5	3	57	3	1	2	56	30	8	4	15	2	2	1	2	16	20	4	30	5	0	0	0
"115"	"aph(3')-XV_2_clust"	238	114	225	106	476	1	4	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	3	6	1	1	0	1	1	0	0	0	1	1	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	19	1	6	27	2	12	11	2	32	5	9	5	4	6	1	20	18	14	6	2	6	4	0	0	0	0	0	0	0	0	0	5	15	4	0	1	1	1	2	4	1	45	43	0	0	0	2	0	1	0	4	2	0	1	0	0	0	0	1	3	0	1	1	0	0	7	3	1	0	1	0	0	0
