clade_name	NCBI_tax_id	SWESTP57	SWESTP53	SWESTP49	SWESTP37	SWESTP35	SWESTP33	SWESTP31	SWESTP30	SWE41	SWE41a	SWE41a_2	SWE41a_1	Seafield	JTH	IRL69	IRL69_2	IRL69_1	FIN25	FIN25_2	FIN25_1	FH9_S170	FH8_S169	FH7_S168	FH6_S167	FH5_S166	FH4_S165	FH3_S164	FH2_S163	FH1_S162	FH10_S171	ESP75	ESP75_2	ESP75_1	DEU27	DEU27_2	DEU27_1	CP8	CP7	CP6	CP5	CP4	CP3	CP1	BSE93_S121	BSE79_S120	BSE74_S119	BSE100_S122	BH63_S118	BH62_S117	BH61_S116	BH60_S115	BH59_S114	BH58_S113	BH52_S112	BH50_S111	BH49_S110	BH48_S109	BH47_S108	BH46_S107	BH45_S106	BH44_S105	BH39_S104	BH38_S103	BH37_S102	BH36_S101	BH35_S100	BH34B_S99	BH34A_S98	BH33_S97	BH32_S96	BH31_S95	BH30_S94	BH29_S93	BH27_S92	BH25_S91	BH24_S90	BH22_S89	BH20_S88	BH14_S87	BH13_S86	BH11_S85	BH10_S84	BH09_S83	BH07_S82	BH06_S81	BH05_S80	BH04_S79	BH03_S78	BH02_S77	BH01_S76	BFH9_S127	BFH8_S126	BFH6_S125	BFH4_S124	BFH42_S161	BFH41_S160	BFH40_S159	BFH39_S158	BFH38B_S157	BFH38A_S156	BFH37_S155	BFH36_S154	BFH35_S153	BFH34_S152	BFH33_S151	BFH32_S150	BFH31_S149	BFH30_S148	BFH29_S147	BFH28_S146	BFH27_S145	BFH26_S144	BFH25_S143	BFH24_S142	BFH23_S141	BFH22_S140	BFH21_S139	BFH20_S138	BFH1_S123	BFH19_S137	BFH18_S136	BFH17_S135	BFH16_S134	BFH15_S133	BFH14_S132	BFH13_S131	BFH12_S130	BFH11_S129	BFH10_S128	ASMA3	ASMA2	ASMA1	AHMA5	AHMA4	AHMA3	AHMA2	AHMA1
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__Methanoregula_formicica	2157;28890;224756;2191;1198451;395331;882104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07501000000000001	0	0	0	0.06509	0	0	0.7434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24713000000000002	0	0	0	0	0	0	0	0	0	0	0	0	0.5587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.95412	0	0	0	0	0	0	0	0	0.08065	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum;s__Methanospirillum_hungatei	2157;28890;224756;2191;196137;2202;2203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12991	0	0.00843	0	0	0.5250100000000001	0.48926000000000003	0.07313	0	0.198	0.14695	0	0	0	0	0	0	0.008490000000000001	0	0	0	0	0	0	0.30503	0	0	0	0	0	0.00864	0	0	0	0	0	0	0.0213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00891	0	0	0	0	0.031889999999999995	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum;s__Methanospirillum_lacunae	2157;28890;224756;2191;196137;2202;668570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01323	0	0	0	0	0.40765	0.36399000000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum;s__Methanospirillum_stamsii	2157;28890;224756;2191;196137;2202;1277351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16915	0	0.12204000000000001	0	0	0.02119	0.00628	0.19535999999999998	0	0.046169999999999996	0.0768	0	0	0	0	0	0	0	0.026369999999999998	0	0	0	0	0	0.9289799999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0020800000000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018930000000000002	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae;g__Methanothrix;s__Methanosaeta_harundinacea	2157;28890;224756;94695;143067;2222;301375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009559999999999999	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae;g__Methanothrix;s__Methanothrix_soehngenii	2157;28890;224756;94695;143067;2222;2223	0	0	0	0	0	0	0	0	0.07338	0.0050100000000000006	0	0	0	0.02311	0	0	0	0.09742	0.10945	0.02565	0	0	0	0	0	0	0	0	0	0	0.0020800000000000003	0.1572	0.09108	0.04199	0	0.09157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03558	0	0.06217	0	0.34657	0.014180000000000002	0.09185	0	0.03608	0	0	3.6427099999999997	0.73424	3.9617699999999996	0.6153	0.44435	0.34046	0.21139000000000002	0	0.52642	0.14951	1.43097	0.8944	0.12344000000000001	0	0	0	0	3.87321	0	0	0	0	0	0	0.39786	0	0	0	0	0.17723	0.9407399999999999	0	0	4.69639	0.1356	0.08595	0	0.20561	0.23736999999999997	0.00247	0	0	0.020569999999999998	0.01116	0	0.037380000000000004	0.07132000000000001	1.59866	0.04123	0	0.00671	0	0	0	0	0.12815	2.51607	4.44781	0.21311	13.22206	0	0.05432000000000001	0	0.0411	0	0	0.01924	16.6855	0.02635	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanomethylovorans;s__Methanomethylovorans_hollandica	2157;28890;224756;94695;2206;101191;101192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03488	0.042839999999999996	0	0	0	0	0	0.00993	0.24856999999999999	0.03292	0	0.17544	0.12838	0	1.1930100000000001	0.43492	0.30096	1.3090700000000002	0.25548000000000004	0.26382	0.27721	0.01484	0.29534	0.01959	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17287	0	0	0	0	3.85531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0045899999999999995	0	0	0	0	0	0	0	0	0.10219	0	0	0	0	0.02901	0	0.26466	0	0.47407	0.4846	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina_barkeri	2157;28890;224756;94695;2206;2207;2208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.338480000000001	0	0	0	0	1.4599600000000001	2.6051599999999997	0	0.055389999999999995	0	0	0	0.05524	0.09596	0	0	0	0	0	0	0	0	0	0	0.34686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17548	0	0.07189	0.043769999999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina_mazei	2157;28890;224756;94695;2206;2207;2209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008459999999999999	0	0.14854	0	0	0.16525	0.13463	0	0.1263	1.43455	15.02259	0	0	0	0	0.40043	0	0	0.09016	0	0	0	0	0	0.51181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00969	0.007640000000000001	0.00242	0	0	0	0	0	0	0	0	0	0	0	0.54989	0	0	0	0	0	0	3.15939	0	0	0.01285	0.020309999999999998	0	0	0	0	0	0	0	0	0.11810999999999999	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina_vacuolata	2157;28890;224756;94695;2206;2207;2215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccales_unclassified;g__Methanomassiliicoccales_unclassified;s__Methanomassiliicoccales_archaeon_RumEn_M2	2157;28890;183967;1235850;;;1713725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24361	0.25786	0	0.22021	0	0	0	0.029789999999999997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5561699999999999	0	0	0	0	0	0	0	0	0	0.01015	0.10909	0	0.00271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77933	0	0.80116	0	0	0	0	0	0	0	0	0	0	0.052660000000000005	0	0	0
k__Archaea;p__Thaumarchaeota;c__Thaumarchaeota_unclassified;o__Thaumarchaeota_unclassified;f__Thaumarchaeota_unclassified;g__Thaumarchaeota_unclassified;s__Thaumarchaeota_archaeon_CSP1_1	2157;651137;;;;;1640512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25527	1.12445	0.0715	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellia_unclassified;f__Blastocatellia_unclassified;g__Chloracidobacterium;s__Chloracidobacterium_thermophilum	2;57723;1562566;;;458032;458033	0.29996999999999996	0	0	0.27429000000000003	0.0101	0.049210000000000004	0.5874699999999999	0	0.13575	0	0	0	0	0	0	0	0	0	0.006690000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024059999999999998	0	0	0	0	0.40636	0.41696000000000005	0.45646000000000003	1.03664	1.00929	0	4.926740000000001	0.28296	3.04184	4.96321	11.658339999999999	23.37076	33.17776	3.5571300000000003	3.88259	5.97675	1.7695900000000002	6.0653	7.1494800000000005	5.76422	1.37379	0.71095	1.7629099999999998	1.0411700000000002	0.43738	7.960719999999999	0	0	0	0	49.03065	0.50492	0	0	0	0.69213	0.24777	1.38909	0	2.69462	0.05341	0	7.114210000000001	1.7860200000000002	5.000430000000001	0.8861600000000001	2.9372	0.03342	0.02029	0	0.016569999999999998	0.01096	0	0	0.061279999999999994	0.06262000000000001	0.016640000000000002	0.02325	0.03953	0.00705	0.16998	3.33264	0	2.54083	0.11674000000000001	0	0.03412	1.1927299999999998	0.9446899999999999	13.29601	0.83678	0.19189	1.7591900000000003	0	0.51777	0.31099	0	2.6419099999999998	4.86104	2.88923	8.74493	0	0	0	0	0.008140000000000001	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria_unclassified;o__Actinobacteria_unclassified;f__Actinobacteria_unclassified;g__Actinobacteria_unclassified;s__Actinobacteria_bacterium_HGW_Actinobacteria_5	2;201174;;;;;2013650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005200000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0034	0	0	0.04179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum;s__Actinobaculum_sp_oral_taxon_183	2;201174;1760;2037;2049;76833;712888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030189999999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_graevenitzii	2;201174;1760;2037;2049;1654;55565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_naeslundii	2;201174;1760;2037;2049;1654;1655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05184	0	0	0	0	0	0
